
January 20, 2012; Los Angeles Times; 100 words; Campaigns/Elections/Politics
April 10, 2012; Houston Chronicle; 804 words; Transportation
May 10, 2012; Houston Chronicle; 805 words; Race/Gender/Gay Issues
January 17, 2012; Houston Chronicle; 807 words; Health/Medicine
January 12, 2012; Los Angeles Times; 808 words; Crime
March 7, 2012; Houston Chronicle; 808 words; Crime
April 18, 2012; Orlando Sentinel; 808 words; Crime
April 24, 2012; Orlando Sentinel; 812 words; Business
May 3, 2012; Denver Post; 813 words; Economy/Economics
January 11, 2012; Orlando Sentinel; 813 words; Economy/Economics
February 29, 2012; Washington Post; 814 words; Campaigns/Elections/Politics
March 23, 2012; Orlando Sentinel; 814 words; Crime
January 25, 2012; Orlando Sentinel; 815 words; Education
January 23, 2012; Wall Street Journal; 817 words; Foreign (non-U.S.)
January 16, 2012; Denver Post; 817 words; Health/Medicine
March 5, 2012; Houston Chronicle; 817 words; Government Agencies/Legislatures
March 15, 2012; Orlando Sentinel; 817 words; Sports
April 10, 2012; Orlando Sentinel; 817 words; Education
April 25, 2012; Eagle Tribune (MA); 817 words; Economy/Economics
January 23, 2012; Houston Chronicle; 819 words; Government Agencies/Legislatures
March 18, 2012; Houston Chronicle; 819 words; Foreign (non-U.S.)
May 28, 2012; Houston Chronicle; 819 words; Campaigns/Elections/Politics
May 16, 2012; Eagle Tribune (MA); 819 words; Government Agencies/Legislatures
April 22, 2012; Orlando Sentinel; 820 words; Crime
March 21, 2012; Orlando Sentinel; 821 words; Crime
January 11, 2012; Orlando Sentinel; 823 words; Crime
March 21, 2012; Orlando Sentinel; 823 words; Education
January 24, 2012; Denver Post; 824 words; Business
January 24, 2012; Los Angeles Times; 825 words; Foreign (non-U.S.)
March 9, 2012; Orlando Sentinel; 826 words; Transportation
March 12, 2012; Washington Post; 829 words; U.S. Foreign Affairs
January 25, 2012; USA Today; 829 words; Campaigns/Elections/Politics
March 28, 2012; Los Angeles Times; 829 words; Environment
January 27, 2012; Orlando Sentinel; 829 words; Science and Technology
February 16, 2012; Wall Street Journal; 831 words; Sports
March 23, 2012; Orlando Sentinel; 831 words; Crime
February 6, 2012; Houston Chronicle; 832 words; Crime
February 22, 2012; Eagle Tribune (MA); 832 words; Crime
May 11, 2012; Denver Post; 833 words; Health/Medicine
April 16, 2012; Orlando Sentinel; 833 words; Campaigns/Elections/Politics
January 5, 2012; Houston Chronicle; 834 words; Campaigns/Elections/Politics
March 16, 2012; Denver Post; 835 words; Government Agencies/Legislatures
February 8, 2012; Orlando Sentinel; 835 words; Transportation
January 30, 2012; Traverse City Record; 835 words; Economy/Economics
February 19, 2012; Houston Chronicle; 836 words; Race/Gender/Gay Issues
April 10, 2012; Orlando Sentinel; 836 words; Economy/Economics
January 30, 2012; Denver Post; 837 words; Environment
March 19, 2012; Orlando Sentinel; 838 words; Education
January 12, 2012; Traverse City Record; 841 words; Disasters/Accidents
March 16, 2012; Washington Post; 842 words; Foreign (non-U.S.)
January 27, 2012; Traverse City Record; 842 words; Environment
January 19, 2012; Daily Herald (Everett, WA); 842 words; Transportation
May 28, 2012; Eagle Tribune (MA); 842 words; Additional Domestic Affairs
March 30, 2012; Denver Post; 844 words; Economy/Economics
February 13, 2012; Los Angeles Times; 845 words; Celebrity/Entertainment
February 20, 2012; Houston Chronicle; 845 words; Foreign (non-U.S.)
March 1, 2012; Orlando Sentinel; 845 words; Campaigns/Elections/Politics
April 6, 2012; Wall Street Journal; 846 words; Foreign (non-U.S.)
April 2, 2012; Orlando Sentinel; 846 words; Business
May 23, 2012; Los Angeles Times; 848 words; U.S. Foreign Affairs
May 8, 2012; Traverse City Record; 848 words; Domestic Terrorism
February 22, 2012; Houston Chronicle; 849 words; Race/Gender/Gay Issues
May 13, 2012; Los Angeles Times; 850 words; Government Agencies/Legislatures
January 30, 2012; Denver Post; 850 words; Science and Technology
April 5, 2012; Denver Post; 854 words; Disasters/Accidents
February 19, 2012; Houston Chronicle; 854 words; Economy/Economics
March 14, 2012; Washington Post; 855 words; Economy/Economics
February 12, 2012; Daily Herald (Everett, WA); 855 words; Government Agencies/Legislatures
March 13, 2012; Wall Street Journal; 856 words; Economy/Economics
February 10, 2012; Houston Chronicle; 857 words; Economy/Economics
April 5, 2012; Denver Post; 858 words; Health/Medicine
May 8, 2012; Houston Chronicle; 858 words; Domestic Terrorism
March 22, 2012; Denver Post; 860 words; Education
February 24, 2012; Orlando Sentinel; 862 words; Additional Domestic Affairs
March 5, 2012; Orlando Sentinel; 863 words; Economy/Economics
February 7, 2012; Los Angeles Times; 864 words; Lifestyle
January 26, 2012; Washington Post; 867 words; Environment
April 1, 2012; Los Angeles Times; 867 words; Health/Medicine
February 3, 2012; Los Angeles Times; 868 words; Business
February 5, 2012; Traverse City Record; 868 words; Economy/Economics
March 22, 2012; Daily Herald (Everett, WA); 868 words; Lifestyle
April 5, 2012; Traverse City Record; 870 words; Economy/Economics
March 9, 2012; Wall Street Journal; 872 words; Health/Medicine
April 26, 2012; Orlando Sentinel; 872 words; Campaigns/Elections/Politics
March 25, 2012; New York Times; 873 words; Government Agencies/Legislatures
May 1, 2012; Los Angeles Times; 873 words; Government Agencies/Legislatures
January 6, 2012; Los Angeles Times; 874 words; Government Agencies/Legislatures
January 16, 2012; Los Angeles Times; 874 words; Government Agencies/Legislatures
February 10, 2012; Orlando Sentinel; 875 words; Education
May 4, 2012; Orlando Sentinel; 876 words; Crime
January 29, 2012; Orlando Sentinel; 877 words; Business
May 17, 2012; Traverse City Record; 877 words; Health/Medicine
March 16, 2012; New York Times; 878 words; U.S. Foreign Affairs
March 26, 2012; New York Times; 879 words; Foreign (non-U.S.)
March 7, 2012; Wall Street Journal; 879 words; Campaigns/Elections/Politics
May 22, 2012; Houston Chronicle; 880 words; Foreign (non-U.S.)
May 2, 2012; Wall Street Journal; 881 words; Business
March 2, 2012; Los Angeles Times; 881 words; Business
January 31, 2012; Orlando Sentinel; 881 words; Education
May 25, 2012; Eagle Tribune (MA); 882 words; Education
January 9, 2012; Houston Chronicle; 883 words; Campaigns/Elections/Politics
March 23, 2012; Wall Street Journal; 884 words; Business
May 14, 2012; Wall Street Journal; 884 words; Foreign (non-U.S.)
January 29, 2012; Eagle Tribune (MA); 884 words; Sports
April 9, 2012; Washington Post; 886 words; U.S. Foreign Affairs
March 6, 2012; Denver Post; 887 words; Additional Domestic Affairs
March 13, 2012; Wall Street Journal; 888 words; Environment
February 17, 2012; Denver Post; 889 words; Environment
March 8, 2012; Washington Post; 890 words; Campaigns/Elections/Politics
February 9, 2012; Los Angeles Times; 892 words; Foreign (non-U.S.)
January 13, 2012; Orlando Sentinel; 892 words; Campaigns/Elections/Politics
May 2, 2012; Traverse City Record; 894 words; Campaigns/Elections/Politics
April 16, 2012; Wall Street Journal; 898 words; Business
May 1, 2012; Denver Post; 898 words; Defense/Military (Domestic)
April 13, 2012; Washington Post; 899 words; Science and Technology
March 1, 2012; Houston Chronicle; 904 words; Education
April 6, 2012; Wall Street Journal; 907 words; Crime
January 15, 2012; Traverse City Record; 907 words; Economy/Economics
January 6, 2012; Denver Post; 908 words; Defense/Military (Domestic)
March 14, 2012; Washington Post; 909 words; Defense/Military (Domestic)
March 7, 2012; Wall Street Journal; 909 words; Foreign (non-U.S.)
February 9, 2012; Denver Post; 909 words; Campaigns/Elections/Politics
February 15, 2012; Washington Post; 910 words; Foreign (non-U.S.)
February 2, 2012; Houston Chronicle; 910 words; Education
April 17, 2012; Los Angeles Times; 913 words; Campaigns/Elections/Politics
February 19, 2012; Eagle Tribune (MA); 914 words; Education
April 5, 2012; Los Angeles Times; 915 words; Foreign (non-U.S.)
February 14, 2012; Houston Chronicle; 915 words; Government Agencies/Legislatures
April 4, 2012; Orlando Sentinel; 917 words; Health/Medicine
February 23, 2012; Los Angeles Times; 918 words; Campaigns/Elections/Politics
April 30, 2012; Houston Chronicle; 918 words; Environment
February 21, 2012; Los Angeles Times; 919 words; Foreign (non-U.S.)
March 16, 2012; Los Angeles Times; 919 words; Science and Technology
February 19, 2012; Los Angeles Times; 920 words; Environment
January 18, 2012; Los Angeles Times; 921 words; Campaigns/Elections/Politics
April 30, 2012; Orlando Sentinel; 922 words; Government Agencies/Legislatures
April 16, 2012; Wall Street Journal; 925 words; Foreign (non-U.S.)
January 29, 2012; Orlando Sentinel; 925 words; Education
March 26, 2012; Los Angeles Times; 928 words; Economy/Economics
February 2, 2012; Houston Chronicle; 930 words; Business
February 5, 2012; Los Angeles Times; 932 words; Business
April 18, 2012; Orlando Sentinel; 932 words; Environment
February 3, 2012; Denver Post; 933 words; Campaigns/Elections/Politics
January 6, 2012; New York Times; 934 words; Campaigns/Elections/Politics
January 26, 2012; Denver Post; 934 words; Education
April 11, 2012; New York Times; 935 words; Business
May 18, 2012; Houston Chronicle; 935 words; Science and Technology
February 2, 2012; Wall Street Journal; 936 words; Business
January 17, 2012; Orlando Sentinel; 936 words; Additional Domestic Affairs
February 3, 2012; Washington Post; 937 words; Government Agencies/Legislatures
January 4, 2012; Los Angeles Times; 939 words; Campaigns/Elections/Politics
January 20, 2012; Washington Post; 940 words; U.S. Foreign Affairs
May 7, 2012; New York Times; 941 words; U.S. Foreign Affairs
January 10, 2012; Los Angeles Times; 942 words; Campaigns/Elections/Politics
April 19, 2012; Washington Post; 943 words; Education
February 24, 2012; Wall Street Journal; 944 words; Foreign (non-U.S.)
February 20, 2012; Traverse City Record; 944 words; U.S. Foreign Affairs
January 19, 2012; Wall Street Journal; 946 words; Foreign (non-U.S.)
February 14, 2012; Wall Street Journal; 946 words; Foreign (non-U.S.)
February 28, 2012; Orlando Sentinel; 946 words; Government Agencies/Legislatures
May 11, 2012; New York Times; 947 words; Campaigns/Elections/Politics
May 30, 2012; Wall Street Journal; 949 words; Business
March 22, 2012; Los Angeles Times; 950 words; Court/Legal System
March 16, 2012; Washington Post; 951 words; Campaigns/Elections/Politics
February 9, 2012; Los Angeles Times; 953 words; Race/Gender/Gay Issues
February 2, 2012; Orlando Sentinel; 953 words; Economy/Economics
February 10, 2012; Wall Street Journal; 954 words; Economy/Economics
February 29, 2012; Los Angeles Times; 954 words; Economy/Economics
March 2, 2012; Los Angeles Times; 954 words; Campaigns/Elections/Politics
May 17, 2012; Los Angeles Times; 955 words; Economy/Economics
April 1, 2012; Eagle Tribune (MA); 955 words; Crime
March 13, 2012; Wall Street Journal; 956 words; Science and Technology
March 12, 2012; Washington Post; 959 words; Business
March 20, 2012; Los Angeles Times; 959 words; Business
April 3, 2012; Los Angeles Times; 959 words; Crime
May 23, 2012; New York Times; 961 words; Campaigns/Elections/Politics
February 26, 2012; New York Times; 962 words; Science and Technology
May 11, 2012; Los Angeles Times; 963 words; Foreign (non-U.S.)
January 31, 2012; Orlando Sentinel; 963 words; Business
March 8, 2012; Washington Post; 964 words; Foreign (non-U.S.)
March 27, 2012; Wall Street Journal; 964 words; Lifestyle
May 7, 2012; Eagle Tribune (MA); 964 words; Economy/Economics
February 21, 2012; Los Angeles Times; 965 words; Campaigns/Elections/Politics
March 26, 2012; Denver Post; 965 words; Education
March 14, 2012; Washington Post; 966 words; Campaigns/Elections/Politics
January 9, 2012; Orlando Sentinel; 966 words; Campaigns/Elections/Politics
March 15, 2012; Wall Street Journal; 967 words; Business
January 24, 2012; Denver Post; 968 words; Domestic Terrorism
March 28, 2012; Daily Herald (Everett, WA); 968 words; Lifestyle
April 11, 2012; Denver Post; 969 words; Campaigns/Elections/Politics
January 12, 2012; Washington Post; 970 words; Foreign (non-U.S.)
April 25, 2012; Los Angeles Times; 970 words; Business
January 23, 2012; Wall Street Journal; 971 words; Lifestyle
March 28, 2012; Denver Post; 972 words; Economy/Economics
January 13, 2012; Houston Chronicle; 973 words; U.S. Foreign Affairs
March 30, 2012; Los Angeles Times; 974 words; Sports
January 25, 2012; Houston Chronicle; 975 words; Government Agencies/Legislatures
January 2, 2012; New York Times; 976 words; Crime
April 20, 2012; Wall Street Journal; 977 words; Economy/Economics
May 21, 2012; Los Angeles Times; 977 words; Business
February 14, 2012; Wall Street Journal; 978 words; Lifestyle
February 29, 2012; New York Times; 979 words; Additional Domestic Affairs
January 13, 2012; Houston Chronicle; 979 words; Sports
May 13, 2012; Eagle Tribune (MA); 979 words; Government Agencies/Legislatures
May 23, 2012; New York Times; 980 words; Foreign (non-U.S.)
March 9, 2012; Wall Street Journal; 980 words; Foreign (non-U.S.)
March 29, 2012; Wall Street Journal; 980 words; Sports
May 23, 2012; Los Angeles Times; 981 words; Education
April 23, 2012; Traverse City Record; 981 words; Campaigns/Elections/Politics
February 23, 2012; Los Angeles Times; 982 words; Crime
January 18, 2012; Denver Post; 982 words; Science and Technology
January 8, 2012; Washington Post; 983 words; Additional Domestic Affairs
May 22, 2012; Wall Street Journal; 983 words; Foreign (non-U.S.)
February 15, 2012; New York Times; 984 words; Economy/Economics
April 18, 2012; Wall Street Journal; 984 words; Business
January 12, 2012; Washington Post; 985 words; Business
May 25, 2012; Los Angeles Times; 985 words; Business
May 15, 2012; Denver Post; 985 words; Race/Gender/Gay Issues
March 26, 2012; Los Angeles Times; 988 words; Environment
January 25, 2012; Orlando Sentinel; 989 words; Government Agencies/Legislatures
January 29, 2012; Orlando Sentinel; 991 words; Campaigns/Elections/Politics
February 13, 2012; Los Angeles Times; 992 words; Foreign (non-U.S.)
May 27, 2012; Los Angeles Times; 992 words; Business
January 18, 2012; Denver Post; 992 words; Foreign (non-U.S.)
April 15, 2012; Houston Chronicle; 992 words; Campaigns/Elections/Politics
April 24, 2012; Wall Street Journal; 994 words; Business
May 2, 2012; Wall Street Journal; 997 words; Government Agencies/Legislatures
April 2, 2012; Wall Street Journal; 998 words; Crime
March 22, 2012; Denver Post; 998 words; Lifestyle
January 11, 2012; Houston Chronicle; 998 words; Campaigns/Elections/Politics
May 31, 2012; Los Angeles Times; 999 words; Crime
January 24, 2012; Washington Post; 1000 words; Additional Domestic Affairs
May 7, 2012; Los Angeles Times; 1000 words; Foreign (non-U.S.)
January 24, 2012; Traverse City Record; 1000 words; Additional Domestic Affairs
January 31, 2012; Wall Street Journal; 1001 words; Science and Technology
January 18, 2012; Los Angeles Times; 1001 words; Crime
January 26, 2012; Los Angeles Times; 1003 words; Additional Domestic Affairs
February 1, 2012; New York Times; 1004 words; Foreign (non-U.S.)
January 12, 2012; Washington Post; 1004 words; Religion
February 27, 2012; Los Angeles Times; 1004 words; Foreign (non-U.S.)
January 30, 2012; New York Times; 1005 words; Campaigns/Elections/Politics
February 29, 2012; Los Angeles Times; 1006 words; Immigration
January 25, 2012; Orlando Sentinel; 1006 words; Health/Medicine
May 14, 2012; Traverse City Record; 1007 words; Environment
March 5, 2012; Wall Street Journal; 1010 words; Additional Domestic Affairs
March 1, 2012; Wall Street Journal; 1011 words; Foreign (non-U.S.)
May 24, 2012; Wall Street Journal; 1011 words; Lifestyle
March 2, 2012; New York Times; 1012 words; Disasters/Accidents
February 28, 2012; Wall Street Journal; 1012 words; Crime
May 18, 2012; Wall Street Journal; 1012 words; Lifestyle
February 13, 2012; Los Angeles Times; 1012 words; Government Agencies/Legislatures
January 12, 2012; Los Angeles Times; 1013 words; Economy/Economics
April 5, 2012; Los Angeles Times; 1013 words; Campaigns/Elections/Politics
May 9, 2012; Los Angeles Times; 1016 words; Domestic Terrorism
May 7, 2012; Denver Post; 1016 words; Education
January 12, 2012; New York Times; 1017 words; Lifestyle
January 31, 2012; Wall Street Journal; 1017 words; Business
January 18, 2012; Los Angeles Times; 1017 words; Health/Medicine
March 8, 2012; Washington Post; 1020 words; Campaigns/Elections/Politics
January 6, 2012; Los Angeles Times; 1020 words; Foreign (non-U.S.)
January 2, 2012; Washington Post; 1021 words; Campaigns/Elections/Politics
January 27, 2012; Wall Street Journal; 1021 words; Science and Technology
May 7, 2012; Los Angeles Times; 1022 words; Business
January 17, 2012; Wall Street Journal; 1023 words; Crime
February 6, 2012; Wall Street Journal; 1023 words; Lifestyle
March 6, 2012; Washington Post; 1025 words; Additional Domestic Affairs
March 30, 2012; New York Times; 1026 words; Lifestyle
May 22, 2012; Wall Street Journal; 1026 words; Campaigns/Elections/Politics
March 14, 2012; Los Angeles Times; 1026 words; Crime
February 27, 2012; Washington Post; 1027 words; U.S. Foreign Affairs
March 12, 2012; Los Angeles Times; 1028 words; Foreign (non-U.S.)
January 4, 2012; Washington Post; 1030 words; U.S. Foreign Affairs
March 29, 2012; Wall Street Journal; 1030 words; Sports
January 20, 2012; Los Angeles Times; 1031 words; Science and Technology
February 5, 2012; Washington Post; 1032 words; Foreign (non-U.S.)
April 4, 2012; Wall Street Journal; 1032 words; Business
April 18, 2012; Wall Street Journal; 1032 words; U.S. Foreign Affairs
April 24, 2012; Orlando Sentinel; 1032 words; Education
March 2, 2012; Los Angeles Times; 1033 words; Crime
March 20, 2012; Denver Post; 1033 words; Sports
January 10, 2012; Los Angeles Times; 1035 words; Campaigns/Elections/Politics
February 17, 2012; Denver Post; 1035 words; Campaigns/Elections/Politics
April 27, 2012; New York Times; 1036 words; Campaigns/Elections/Politics
January 19, 2012; Wall Street Journal; 1036 words; Foreign (non-U.S.)
April 12, 2012; Wall Street Journal; 1037 words; Science and Technology
March 20, 2012; Los Angeles Times; 1038 words; Education
February 9, 2012; Washington Post; 1039 words; U.S. Foreign Affairs
January 26, 2012; Denver Post; 1039 words; Campaigns/Elections/Politics
March 28, 2012; New York Times; 1040 words; Science and Technology
January 11, 2012; Orlando Sentinel; 1040 words; Education
May 4, 2012; Wall Street Journal; 1041 words; Business
March 6, 2012; Los Angeles Times; 1041 words; Government Agencies/Legislatures
January 12, 2012; Washington Post; 1042 words; Government Agencies/Legislatures
May 29, 2012; Denver Post; 1042 words; Business
April 12, 2012; Houston Chronicle; 1042 words; Crime
May 11, 2012; Los Angeles Times; 1044 words; Science and Technology
April 26, 2012; Wall Street Journal; 1045 words; Immigration
May 9, 2012; Los Angeles Times; 1045 words; Campaigns/Elections/Politics
March 8, 2012; Eagle Tribune (MA); 1045 words; Disasters/Accidents
January 18, 2012; Los Angeles Times; 1046 words; Science and Technology
January 2, 2012; Washington Post; 1047 words; Campaigns/Elections/Politics
February 5, 2012; Los Angeles Times; 1047 words; U.S. Foreign Affairs
February 7, 2012; New York Times; 1048 words; Government Agencies/Legislatures
March 8, 2012; New York Times; 1048 words; Sports
April 27, 2012; New York Times; 1048 words; Business
April 26, 2012; Wall Street Journal; 1048 words; Science and Technology
January 23, 2012; Houston Chronicle; 1048 words; Campaigns/Elections/Politics
January 18, 2012; New York Times; 1050 words; Government Agencies/Legislatures
January 26, 2012; Washington Post; 1050 words; Education
March 6, 2012; Denver Post; 1051 words; Campaigns/Elections/Politics
April 16, 2012; Houston Chronicle; 1051 words; Health/Medicine
March 12, 2012; New York Times; 1052 words; Economy/Economics
March 28, 2012; Daily Herald (Everett, WA); 1052 words; Government Agencies/Legislatures
April 29, 2012; Los Angeles Times; 1053 words; Foreign (non-U.S.)
May 17, 2012; Los Angeles Times; 1054 words; U.S. Foreign Affairs
January 20, 2012; New York Times; 1055 words; Foreign (non-U.S.)
February 3, 2012; New York Times; 1055 words; Additional Domestic Affairs
March 16, 2012; New York Times; 1055 words; Transportation
March 27, 2012; Wall Street Journal; 1055 words; Economy/Economics
April 10, 2012; Wall Street Journal; 1055 words; Crime
February 5, 2012; Traverse City Record; 1056 words; Economy/Economics
May 8, 2012; Wall Street Journal; 1057 words; U.S. Foreign Affairs
April 9, 2012; New York Times; 1058 words; Lifestyle
March 28, 2012; Los Angeles Times; 1058 words; Health/Medicine
January 25, 2012; Wall Street Journal; 1059 words; Additional Domestic Affairs
February 21, 2012; New York Times; 1060 words; Crime
May 15, 2012; New York Times; 1061 words; Government Agencies/Legislatures
May 18, 2012; Wall Street Journal; 1061 words; Foreign (non-U.S.)
April 19, 2012; Los Angeles Times; 1061 words; U.S. Foreign Affairs
March 27, 2012; Traverse City Record; 1062 words; Health/Medicine
January 8, 2012; Los Angeles Times; 1063 words; Foreign (non-U.S.)
February 17, 2012; New York Times; 1064 words; Race/Gender/Gay Issues
April 9, 2012; Los Angeles Times; 1064 words; U.S. Foreign Affairs
February 9, 2012; Los Angeles Times; 1066 words; Crime
January 3, 2012; Orlando Sentinel; 1066 words; Health/Medicine
April 5, 2012; New York Times; 1067 words; Health/Medicine
January 6, 2012; Washington Post; 1067 words; U.S. Foreign Affairs
February 9, 2012; Washington Post; 1067 words; Campaigns/Elections/Politics
March 12, 2012; Los Angeles Times; 1067 words; Environment
March 4, 2012; Los Angeles Times; 1068 words; Campaigns/Elections/Politics
January 18, 2012; New York Times; 1069 words; Science and Technology
February 9, 2012; Washington Post; 1069 words; Campaigns/Elections/Politics
March 13, 2012; Wall Street Journal; 1069 words; Business
March 15, 2012; Wall Street Journal; 1069 words; Science and Technology
April 17, 2012; Washington Post; 1071 words; Government Agencies/Legislatures
February 22, 2012; Wall Street Journal; 1071 words; Business
March 22, 2012; Washington Post; 1072 words; Court/Legal System
April 25, 2012; New York Times; 1073 words; Economy/Economics
January 30, 2012; Los Angeles Times; 1073 words; Education
May 8, 2012; Wall Street Journal; 1074 words; Economy/Economics
January 12, 2012; Los Angeles Times; 1075 words; Campaigns/Elections/Politics
February 22, 2012; Wall Street Journal; 1076 words; Economy/Economics
January 8, 2012; Los Angeles Times; 1076 words; Government Agencies/Legislatures
January 24, 2012; Los Angeles Times; 1076 words; Additional Domestic Affairs
April 23, 2012; Denver Post; 1076 words; U.S. Foreign Affairs
April 29, 2012; Los Angeles Times; 1077 words; Business
April 23, 2012; Denver Post; 1078 words; Additional Domestic Affairs
April 24, 2012; Wall Street Journal; 1079 words; Business
March 18, 2012; Los Angeles Times; 1079 words; U.S. Foreign Affairs
May 10, 2012; Wall Street Journal; 1080 words; Campaigns/Elections/Politics
February 16, 2012; Wall Street Journal; 1081 words; Economy/Economics
March 16, 2012; Los Angeles Times; 1081 words; Campaigns/Elections/Politics
May 16, 2012; Wall Street Journal; 1082 words; Crime
January 30, 2012; Washington Post; 1083 words; U.S. Foreign Affairs
March 4, 2012; Daily Herald (Everett, WA); 1085 words; Campaigns/Elections/Politics
February 5, 2012; Washington Post; 1087 words; Sports
February 23, 2012; Los Angeles Times; 1087 words; Education
February 7, 2012; Washington Post; 1089 words; Economy/Economics
April 18, 2012; Wall Street Journal; 1089 words; Foreign (non-U.S.)
March 14, 2012; Los Angeles Times; 1089 words; Education
March 28, 2012; Los Angeles Times; 1089 words; Foreign (non-U.S.)
February 13, 2012; Washington Post; 1090 words; U.S. Foreign Affairs
February 23, 2012; Los Angeles Times; 1091 words; Foreign (non-U.S.)
March 30, 2012; Los Angeles Times; 1091 words; Race/Gender/Gay Issues
May 31, 2012; Eagle Tribune (MA); 1091 words; Education
February 23, 2012; New York Times; 1093 words; Additional Domestic Affairs
February 6, 2012; Wall Street Journal; 1093 words; U.S. Foreign Affairs
February 8, 2012; Wall Street Journal; 1094 words; Foreign (non-U.S.)
January 6, 2012; Los Angeles Times; 1094 words; Campaigns/Elections/Politics
February 3, 2012; New York Times; 1095 words; Foreign (non-U.S.)
May 29, 2012; New York Times; 1095 words; Defense/Military (Domestic)
May 10, 2012; Wall Street Journal; 1095 words; Business
February 13, 2012; Denver Post; 1095 words; Economy/Economics
February 29, 2012; Washington Post; 1096 words; Campaigns/Elections/Politics
May 2, 2012; Wall Street Journal; 1097 words; Additional Domestic Affairs
April 10, 2012; Wall Street Journal; 1098 words; Campaigns/Elections/Politics
March 8, 2012; Los Angeles Times; 1099 words; Lifestyle
February 27, 2012; New York Times; 1100 words; Immigration
April 25, 2012; Los Angeles Times; 1100 words; Economy/Economics
February 26, 2012; Orlando Sentinel; 1100 words; Education
March 8, 2012; Los Angeles Times; 1102 words; Health/Medicine
February 5, 2012; Los Angeles Times; 1104 words; Campaigns/Elections/Politics
February 3, 2012; New York Times; 1105 words; Government Agencies/Legislatures
May 31, 2012; New York Times; 1105 words; Health/Medicine
January 5, 2012; Orlando Sentinel; 1105 words; Education
May 15, 2012; New York Times; 1106 words; Race/Gender/Gay Issues
March 1, 2012; Wall Street Journal; 1107 words; Campaigns/Elections/Politics
May 10, 2012; Wall Street Journal; 1107 words; Foreign (non-U.S.)
May 29, 2012; Los Angeles Times; 1109 words; Education
February 24, 2012; Wall Street Journal; 1110 words; Business
January 24, 2012; New York Times; 1111 words; Additional Domestic Affairs
March 2, 2012; Denver Post; 1111 words; Domestic Terrorism
April 30, 2012; Wall Street Journal; 1112 words; Health/Medicine
May 25, 2012; Denver Post; 1112 words; Education
January 18, 2012; Washington Post; 1113 words; Science and Technology
April 27, 2012; Los Angeles Times; 1114 words; Foreign (non-U.S.)
May 8, 2012; Wall Street Journal; 1115 words; Foreign (non-U.S.)
February 7, 2012; Los Angeles Times; 1116 words; Environment
May 1, 2012; New York Times; 1117 words; Foreign (non-U.S.)
May 3, 2012; New York Times; 1117 words; Lifestyle
May 25, 2012; New York Times; 1117 words; Media
April 3, 2012; Washington Post; 1117 words; Government Agencies/Legislatures
April 30, 2012; Wall Street Journal; 1117 words; U.S. Foreign Affairs
May 17, 2012; Los Angeles Times; 1117 words; Campaigns/Elections/Politics
March 18, 2012; Los Angeles Times; 1118 words; Foreign (non-U.S.)
March 16, 2012; Denver Post; 1118 words; U.S. Foreign Affairs
January 27, 2012; Wall Street Journal; 1119 words; Campaigns/Elections/Politics
February 1, 2012; Washington Post; 1120 words; Domestic Terrorism
February 27, 2012; Los Angeles Times; 1120 words; Defense/Military (Domestic)
March 16, 2012; Los Angeles Times; 1120 words; Foreign (non-U.S.)
February 10, 2012; Wall Street Journal; 1121 words; Foreign (non-U.S.)
February 7, 2012; Los Angeles Times; 1121 words; Crime
February 27, 2012; Los Angeles Times; 1121 words; Foreign (non-U.S.)
February 3, 2012; Los Angeles Times; 1122 words; Campaigns/Elections/Politics
April 9, 2012; Los Angeles Times; 1122 words; Campaigns/Elections/Politics
January 31, 2012; Wall Street Journal; 1123 words; Foreign (non-U.S.)
February 2, 2012; Wall Street Journal; 1123 words; Business
February 29, 2012; Denver Post; 1123 words; Education
February 26, 2012; New York Times; 1125 words; Campaigns/Elections/Politics
April 19, 2012; Washington Post; 1125 words; U.S. Foreign Affairs
February 19, 2012; Los Angeles Times; 1125 words; Lifestyle
February 3, 2012; New York Times; 1126 words; Business
March 28, 2012; New York Times; 1126 words; Health/Medicine
January 18, 2012; Washington Post; 1127 words; Economy/Economics
May 31, 2012; Los Angeles Times; 1127 words; Business
May 31, 2012; New York Times; 1128 words; Foreign (non-U.S.)
April 20, 2012; Wall Street Journal; 1128 words; Business
May 21, 2012; Los Angeles Times; 1128 words; Race/Gender/Gay Issues
February 10, 2012; Orlando Sentinel; 1128 words; Campaigns/Elections/Politics
March 22, 2012; New York Times; 1129 words; Campaigns/Elections/Politics
January 4, 2012; Los Angeles Times; 1129 words; Transportation
January 20, 2012; Los Angeles Times; 1129 words; Science and Technology
January 22, 2012; Los Angeles Times; 1129 words; Campaigns/Elections/Politics
February 5, 2012; Washington Post; 1130 words; U.S. Foreign Affairs
May 11, 2012; New York Times; 1131 words; Business
February 23, 2012; Washington Post; 1132 words; Foreign (non-U.S.)
March 1, 2012; Houston Chronicle; 1132 words; U.S. Foreign Affairs
January 2, 2012; Los Angeles Times; 1133 words; Campaigns/Elections/Politics
January 10, 2012; New York Times; 1134 words; Foreign (non-U.S.)
May 3, 2012; New York Times; 1134 words; Transportation
January 26, 2012; Los Angeles Times; 1134 words; U.S. Foreign Affairs
March 12, 2012; Los Angeles Times; 1134 words; U.S. Foreign Affairs
January 26, 2012; New York Times; 1135 words; Health/Medicine
March 20, 2012; New York Times; 1135 words; U.S. Foreign Affairs
April 18, 2012; Orlando Sentinel; 1135 words; Education
